date,brand,fuel_type,units_sold,revenue,test_drives
2026-08-01,Honda,Hybrid,7,161700,15
2026-08-02,Hyundai,Diesel,7,158193,13
2026-08-03,Kia,Diesel,4,82228,16
2026-08-04,Kia,Hybrid,4,84372,14
2026-08-05,Honda,Petrol,7,155162,18
2026-08-06,Toyota,Electric,8,180296,12
2026-08-07,Nissan,Electric,4,84536,12
2026-08-08,Toyota,Petrol,7,148113,19
2026-08-09,Nissan,Electric,19,437000,13
2026-08-10,Honda,Petrol,7,150234,12
2026-08-11,Honda,Diesel,8,187912,12
2026-08-12,Toyota,Hybrid,8,176712,14
2026-08-13,Ford,Diesel,8,177416,15
2026-08-14,Ford,Hybrid,8,176640,16
2026-08-15,Hyundai,Hybrid,6,123654,12
2026-08-16,Honda,Hybrid,1,90052,12
2026-08-17,Kia,Diesel,8,183952,16
2026-08-18,Kia,Petrol,5,116210,13
2026-08-19,Nissan,Electric,6,131514,15
2026-08-20,Honda,Petrol,5,103840,13
2026-08-21,Hyundai,Electric,5,116495,31
2026-08-22,Nissan,Diesel,7,148176,11
2026-08-23,Ford,Hybrid,8,176304,14
2026-08-24,Honda,Diesel,8,166264,18
2026-08-25,Hyundai,Hybrid,4,86716,11
2026-08-26,Ford,Electric,4,178872,14
2026-08-27,Honda,Hybrid,4,87536,13
2026-08-28,Honda,Hybrid,4,86132,13
2026-08-29,Nissan,Hybrid,4,85472,16
2026-08-30,Honda,Electric,8,177960,18
